,Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross ,Wiki,Unnamed: 0,variable,Actor
100,5/11/2018,2018,Deadpool 2,"  $110,000,000 ","  $324,591,735 ","  $786,362,370 ",error,13,2,error
101,10/3/2013,2013,Gravity,"  $110,000,000 ","  $274,092,705 ","  $689,742,192 ",error,13,2,error
102,7/29/2011,2011,The Smurfs,"  $110,000,000 ","  $142,614,158 ","  $563,749,323 ",error,13,2,error
103,6/28/2000,2000,The Patriot,"  $110,000,000 ","  $113,330,342 ","  $215,300,000 ",error,13,2,error
104,12/17/2004,2004,The Aviator,"  $110,000,000 ","  $102,608,827 ","  $208,370,892 ",error,13,2,error
105,1/14/2011,2011,The Green Hornet,"  $110,000,000 ","  $98,780,042 ","  $229,155,503 ",error,13,2,error
106,9/21/2016,2016,Miss Peregrine’s Home for Peculiar Children,"  $110,000,000 ","  $87,242,834 ","  $295,986,876 ",error,13,2,error
107,10/7/2011,2011,Real Steel,"  $110,000,000 ","  $85,463,309 ","  $263,880,341 ",error,13,2,error
108,3/23/2017,2017,Ghost in the Shell,"  $110,000,000 ","  $40,563,557 ","  $167,910,690 ",error,13,2,error
109,12/25/2001,2001,Ali,"  $109,000,000 ","  $58,183,966 ","  $87,683,966 ",error,13,2,error
110,7/16/2004,2004,"I, Robot","  $105,000,000 ","  $144,801,023 ","  $348,629,585 ",error,13,2,error
111,4/27/2001,2001,Town & Country,"  $105,000,000 ","  $6,712,451 ","  $10,364,769 ",error,13,2,error
112,11/17/2006,2006,Casino Royale,"  $102,000,000 ","  $167,365,000 ","  $594,420,283 ",error,13,2,error
113,12/22/2010,2010,Little Fockers,"  $100,000,000 ","  $148,438,600 ","  $310,650,574 ",error,13,2,error
114,7/15/1994,1994,True Lies,"  $100,000,000 ","  $146,282,411 ","  $365,300,000 ",error,13,2,error
115,6/21/1996,1996,Eraser,"  $100,000,000 ","  $101,295,562 ","  $234,400,000 ",error,13,2,error
116,12/15/2000,2000,The Emperor s New Groove,"  $100,000,000 ","  $89,630,573 ","  $169,630,573 ",error,13,2,error
117,12/10/2010,2010,The Tourist,"  $100,000,000 ","  $67,631,157 ","  $278,731,369 ",error,13,2,error
118,6/11/2004,2004,The Stepford Wives,"  $100,000,000 ","  $59,475,623 ","  $96,150,482 ",error,13,2,error
119,11/7/2019,2019,Midway,"  $100,000,000 ","  $56,846,802 ","  $126,829,063 ",error,13,2,error
120,12/18/2003,2003,Peter Pan,"  $100,000,000 ","  $48,417,850 ","  $95,255,485 ",error,13,2,error
121,8/14/2014,2014,The Expendables 3,"  $100,000,000 ","  $39,322,544 ","  $209,461,378 ",error,13,2,error
122,11/27/2002,2002,Treasure Planet,"  $100,000,000 ","  $38,120,554 ","  $91,800,000 ",error,13,2,error
123,4/18/2014,2014,Transcendence,"  $100,000,000 ","  $23,022,309 ","  $103,039,258 ",error,13,2,error
124,12/5/2018,2018,Mortal Engines,"  $100,000,000 ","  $15,951,040 ","  $85,480,271 ",error,13,2,error
125,1/20/2012,2012,Jin líng shí san chai,"  $100,000,000 ","  $311,434 ","  $98,227,017 ",error,13,2,error
126,8/10/2012,2012,The Campaign,"  $95,000,000 ","  $86,907,746 ","  $104,907,746 ",error,13,2,error
127,11/12/2010,2010,Unstoppable,"  $95,000,000 ","  $81,562,942 ","  $165,720,921 ",error,13,2,error
128,12/11/2009,2009,The Lovely Bones,"  $95,000,000 ","  $44,114,232 ","  $94,894,448 ",error,13,2,error
129,6/30/2016,2016,Ben-Hur,"  $95,000,000 ","  $26,410,477 ","  $91,669,648 ",error,13,2,error
130,5/30/2003,2003,Finding Nemo,"  $94,000,000 ","  $380,529,370 ","  $936,094,852 ",error,13,2,error
131,7/18/2001,2001,Jurassic Park III,"  $93,000,000 ","  $181,166,115 ","  $365,900,000 ",error,13,2,error
132,7/1/1997,1997,Men in Black,"  $90,000,000 ","  $250,690,539 ","  $587,790,539 ",error,13,2,error
133,4/8/2011,2011,Rio,"  $90,000,000 ","  $143,619,809 ","  $487,519,809 ",error,13,2,error
134,11/3/2000,2000,Charlie s Angels,"  $90,000,000 ","  $125,305,545 ","  $259,736,090 ",error,13,2,error
135,8/13/2008,2008,Tropic Thunder,"  $90,000,000 ","  $110,515,313 ","  $191,145,256 ",error,13,2,error
136,12/25/2008,2008,Valkyrie,"  $90,000,000 ","  $83,107,829 ","  $203,932,174 ",error,13,2,error
137,4/4/1997,1997,The Saint,"  $90,000,000 ","  $61,363,304 ","  $169,400,000 ",error,13,2,error
138,7/7/2004,2004,King Arthur,"  $90,000,000 ","  $51,877,963 ","  $203,653,524 ",error,13,2,error
139,5/10/1996,1996,Twister,"  $88,000,000 ","  $241,688,385 ","  $495,700,000 ",error,13,2,error
140,7/25/2003,2003,Seabiscuit,"  $86,000,000 ","  $120,277,854 ","  $148,715,342 ",error,13,2,error
141,11/17/2006,2006,Happy Feet,"  $85,000,000 ","  $198,000,317 ","  $385,000,317 ",error,13,2,error
142,12/7/2001,2001,Ocean s Eleven,"  $85,000,000 ","  $183,417,150 ","  $450,728,529 ",error,13,2,error
143,7/25/1997,1997,Air Force One,"  $85,000,000 ","  $172,956,409 ","  $315,268,353 ",error,13,2,error
144,4/2/2009,2009,Fast & Furious,"  $85,000,000 ","  $155,064,265 ","  $359,347,833 ",error,13,2,error
145,11/21/2007,2007,Enchanted,"  $85,000,000 ","  $127,706,877 ","  $340,384,141 ",error,13,2,error
146,12/25/2009,2009,It’s Complicated,"  $85,000,000 ","  $112,735,375 ","  $224,614,744 ",error,13,2,error
147,9/29/2006,2006,Open Season,"  $85,000,000 ","  $85,105,259 ","  $191,932,158 ",error,13,2,error
148,11/22/2000,2000,102 Dalmatians,"  $85,000,000 ","  $66,941,559 ","  $66,941,559 ",error,13,2,error
149,9/26/2003,2003,The Rundown,"  $85,000,000 ","  $47,641,743 ","  $80,831,893 ",error,13,2,error
150,6/30/1995,1995,Judge Dredd,"  $85,000,000 ","  $34,687,912 ","  $113,487,912 ",error,13,2,error
151,6/23/2006,2006,Click,"  $82,500,000 ","  $137,355,633 ","  $237,685,089 ",error,13,2,error
152,2/14/2008,2008,Jumper,"  $82,500,000 ","  $80,172,128 ","  $222,640,812 ",error,13,2,error
153,9/23/2015,2015,Hotel Transylvania 2,"  $80,000,000 ","  $169,700,110 ","  $469,500,298 ",error,13,2,error
154,6/18/1992,1992,Batman Returns,"  $80,000,000 ","  $162,833,635 ","  $266,824,291 ",error,13,2,error
