,Actor,value,variable,Title
63,"['George Clooney', 'Mark Wahlberg', 'Diane Lane', 'John Hawkes', 'William Fichtner', 'Karen Allen', 'Bob Gunton', 'Mary Elizabeth Mastrantonio', 'John C. Reilly']",<WikipediaPage 'The Perfect Storm (film)'>,10,Tron: Legacy
64,error,error,10,2012
65,"['Harrison Ford', 'Liam Neeson', 'Peter Sarsgaard']",<WikipediaPage 'K-19: The Widowmaker'>,10,Fantastic Beasts: The Crimes of Grindelwald
66,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg', 'Diane Lane', 'Laurence Fishburne', 'Jeremy Irons', 'Holly Hunter', 'Gal Gadot']",<WikipediaPage 'Batman v Superman: Dawn of Justice'>,11,Black Widow
67,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Lewis Black', 'Bill Hader', 'Mindy Kaling', 'Diane Lane', 'Kyle MacLachlan']",<WikipediaPage 'Inside Out (2015 film)'>,11,Terminator Salvation
68,keyerror,<WikipediaPage 'Great Wall of China'>,11,Green Lantern
69,keyerror,<WikipediaPage 'Jason Bourne'>,11,Prince of Persia: Sands of Time
70,"['Arnold Schwarzenegger', 'Gabriel Byrne', 'Kevin Pollak', 'Robin Tunney', 'Rod Steiger']",<WikipediaPage 'End of Days (film)'>,11,Dark Phoenix
71,keyerror,<WikipediaPage 'Conan the Barbarian'>,11,Onward
72,"['Matthew Broderick', 'Jonathan Taylor Thomas', 'James Earl Jones', 'Jeremy Irons', 'Moira Kelly', 'Ernie Sabella', 'Nathan Lane', 'Robert Guillaume', 'Rowan Atkinson', 'Whoopi Goldberg', 'Cheech Marin', 'Jim Cummings', 'Madge Sinclair']",<WikipediaPage 'The Lion King'>,12,Wonder Woman 1984
73,"['Tom Holland', 'Michael Keaton', 'Jon Favreau', 'Gwyneth Paltrow', 'Zendaya', 'Donald Glover', 'Jacob Batalon', 'Laura Harrier', 'Tony Revolori', 'Bokeem Woodbine', 'Tyne Daly', 'Marisa Tomei', 'Robert Downey Jr.']",<WikipediaPage 'Spider-Man: Homecoming'>,12,Mulan
74,error,error,12,Eternals
75,"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis', 'Julian McMahon', 'Kerry Washington', 'Andre Braugher', 'Beau Garrett', 'Doug Jones', 'Laurence Fishburne']",<WikipediaPage 'Fantastic Four: Rise of the Silver Surfer'>,12,Transformers: Dark of the Moon
76,"['Will Smith', 'Tom Holland', 'Rashida Jones', 'Ben Mendelsohn', 'Reba McEntire', 'Rachel Brosnahan', 'Karen Gillan', 'DJ Khaled', 'Masi Oka']",<WikipediaPage 'Spies in Disguise'>,12,The Mummy
77,keyerror,<WikipediaPage 'The Three Musketeers'>,12,Jack the Giant Slayer
78,"['Mandy Moore', 'Zachary Levi', 'Donna Murphy']",<WikipediaPage 'Tangled'>,13,Furious 7
79,"['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman', 'Sylvester Stallone', 'Viola Davis', 'Jai Courtney', 'Peter Capaldi']",<WikipediaPage 'The Suicide Squad (film)'>,13,Star Trek Into Darkness
80,"['Don Cheadle', 'Sonequa Martin-Green', 'Jeff Bergman', 'Eric Bauza', 'Zendaya']",<WikipediaPage 'Space Jam: A New Legacy'>,13,World War Z
81,keyerror,<WikipediaPage 'Life of Pi'>,13,The Great Gatsby
82,keyerror,<WikipediaPage 'The Stepford Wives'>,13,Disney’s A Christmas Carol
83,error,<WikipediaPage 'Promise'>,13,Pacific Rim
84,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace', 'Bryce Dallas Howard', 'James Cromwell', 'Rosemary Harris', 'J. K. Simmons']",<WikipediaPage 'Spider-Man 3'>,14,The Good Dinosaur
85,error,error,14,Iron Man
86,"['Seth Green', 'Dan Fogler', 'Tom Everett Scott', 'Elisabeth Harnois', 'Mindy Sterling', 'Joan Cusack', 'Dee Bradley Baker']",<WikipediaPage 'Mars Needs Moms'>,14,The Dark Knight
87,keyerror,<WikipediaPage 'Ghost Rider'>,14,Indiana Jones and the Kingdom of the Crystal Skull
88,"['Shia LaBeouf', 'Jeff Bridges', 'Zooey Deschanel', 'Jon Heder', 'James Woods', 'Diedrich Bader']",<WikipediaPage 'Surf's Up (film)'>,14,Brave
89,"['Elle Fanning', 'Nathan Lane', 'Frances de la Tour', 'John Turturro', 'Richard E. Grant', 'Julia Vysotskaya']",<WikipediaPage 'The Nutcracker in 3D'>,14,Kong: Skull Island
90,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Frank Grillo', 'William Hurt', 'Daniel Brühl']",<WikipediaPage 'Captain America: Civil War'>,15,Star Trek Beyond
91,error,error,15,Maleficent: Mistress of Evil
92,error,<WikipediaPage 'Interpol notice'>,15,Blade Runner 2049
93,error,error,15,Terminator: Dark Fate
94,"['Leonardo DiCaprio', 'Jennifer Connelly', 'Djimon Hounsou', 'Michael Sheen', 'Arnold Vosloo']",<WikipediaPage 'Blood Diamond'>,15,Aladdin
