,variable,value,Actor
49,8,<WikipediaPage 'Edge of Tomorrow'>,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']"
50,8,<WikipediaPage 'Dark Shadows'>,"['Joan Bennett', 'Louis Edmonds', 'Nancy Barrett', 'Mitchell Ryan', 'Alexandra Moltke', 'Grayson Hall', 'Kate Jackson', 'Jonathan Frid', 'Kathryn Leigh Scott', 'David Selby', 'Lara Parker', 'Thayer David', 'John Karlen']"
51,8,<WikipediaPage 'How the Grinch Stole Christmas!'>,keyerror
52,8,<WikipediaPage 'Eragon'>,keyerror
53,8,<WikipediaPage 'Volcano'>,error
54,9,<WikipediaPage 'Solo: A Star Wars Story'>,"['Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover', 'Thandiwe Newton', 'Phoebe Waller-Bridge', 'Joonas Suotamo', 'Paul Bettany']"
55,9,<WikipediaPage 'Captain Marvel (film)'>,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Annette Bening', 'Clark Gregg', 'Jude Law']"
56,9,<WikipediaPage 'White House Down'>,"['Channing Tatum', 'Jamie Foxx', 'Maggie Gyllenhaal', 'Jason Clarke', 'Richard Jenkins', 'James Woods']"
57,9,<WikipediaPage 'Mission: Impossible 2'>,"['Dougray Scott', 'Thandiwe Newton', 'Richard Roxburgh', 'John Polson', 'Brendan Gleeson', 'Rade Šerbedžija', 'Ving Rhames']"
58,9,<WikipediaPage 'Hercules'>,keyerror
59,9,<WikipediaPage 'The Devil's Own'>,"['Harrison Ford', 'Brad Pitt', 'Margaret Colin', 'Rubén Blades', 'Treat Williams', 'George Hearn']"
60,10,<WikipediaPage 'John Carter (film)'>,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Mark Strong', 'Ciarán Hinds', 'Dominic West', 'James Purefoy', 'Willem Dafoe']"
61,10,<WikipediaPage 'The Jungle Book'>,keyerror
62,10,<WikipediaPage 'The Wolfman (2010 film)'>,"['Anthony Hopkins', 'Emily Blunt', 'Hugo Weaving']"
63,10,<WikipediaPage 'The Perfect Storm (film)'>,"['George Clooney', 'Mark Wahlberg', 'Diane Lane', 'John Hawkes', 'William Fichtner', 'Karen Allen', 'Bob Gunton', 'Mary Elizabeth Mastrantonio', 'John C. Reilly']"
64,10,error,error
65,10,<WikipediaPage 'K-19: The Widowmaker'>,"['Harrison Ford', 'Liam Neeson', 'Peter Sarsgaard']"
66,11,<WikipediaPage 'Batman v Superman: Dawn of Justice'>,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg', 'Diane Lane', 'Laurence Fishburne', 'Jeremy Irons', 'Holly Hunter', 'Gal Gadot']"
67,11,<WikipediaPage 'Inside Out (2015 film)'>,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Lewis Black', 'Bill Hader', 'Mindy Kaling', 'Diane Lane', 'Kyle MacLachlan']"
68,11,<WikipediaPage 'Great Wall of China'>,keyerror
69,11,<WikipediaPage 'Jason Bourne'>,keyerror
70,11,<WikipediaPage 'End of Days (film)'>,"['Arnold Schwarzenegger', 'Gabriel Byrne', 'Kevin Pollak', 'Robin Tunney', 'Rod Steiger']"
71,11,<WikipediaPage 'Conan the Barbarian'>,keyerror
72,12,<WikipediaPage 'The Lion King'>,"['Matthew Broderick', 'Jonathan Taylor Thomas', 'James Earl Jones', 'Jeremy Irons', 'Moira Kelly', 'Ernie Sabella', 'Nathan Lane', 'Robert Guillaume', 'Rowan Atkinson', 'Whoopi Goldberg', 'Cheech Marin', 'Jim Cummings', 'Madge Sinclair']"
73,12,<WikipediaPage 'Spider-Man: Homecoming'>,"['Tom Holland', 'Michael Keaton', 'Jon Favreau', 'Gwyneth Paltrow', 'Zendaya', 'Donald Glover', 'Jacob Batalon', 'Laura Harrier', 'Tony Revolori', 'Bokeem Woodbine', 'Tyne Daly', 'Marisa Tomei', 'Robert Downey Jr.']"
74,12,error,error
75,12,<WikipediaPage 'Fantastic Four: Rise of the Silver Surfer'>,"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis', 'Julian McMahon', 'Kerry Washington', 'Andre Braugher', 'Beau Garrett', 'Doug Jones', 'Laurence Fishburne']"
76,12,<WikipediaPage 'Spies in Disguise'>,"['Will Smith', 'Tom Holland', 'Rashida Jones', 'Ben Mendelsohn', 'Reba McEntire', 'Rachel Brosnahan', 'Karen Gillan', 'DJ Khaled', 'Masi Oka']"
77,12,<WikipediaPage 'The Three Musketeers'>,keyerror
78,13,<WikipediaPage 'Tangled'>,"['Mandy Moore', 'Zachary Levi', 'Donna Murphy']"
79,13,<WikipediaPage 'The Suicide Squad (film)'>,"['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman', 'Sylvester Stallone', 'Viola Davis', 'Jai Courtney', 'Peter Capaldi']"
80,13,<WikipediaPage 'Space Jam: A New Legacy'>,"['Don Cheadle', 'Sonequa Martin-Green', 'Jeff Bergman', 'Eric Bauza', 'Zendaya']"
81,13,<WikipediaPage 'Life of Pi'>,keyerror
82,13,<WikipediaPage 'The Stepford Wives'>,keyerror
83,13,<WikipediaPage 'Promise'>,error
84,14,<WikipediaPage 'Spider-Man 3'>,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace', 'Bryce Dallas Howard', 'James Cromwell', 'Rosemary Harris', 'J. K. Simmons']"
85,14,error,error
86,14,<WikipediaPage 'Mars Needs Moms'>,"['Seth Green', 'Dan Fogler', 'Tom Everett Scott', 'Elisabeth Harnois', 'Mindy Sterling', 'Joan Cusack', 'Dee Bradley Baker']"
87,14,<WikipediaPage 'Ghost Rider'>,keyerror
88,14,<WikipediaPage 'Surf's Up (film)'>,"['Shia LaBeouf', 'Jeff Bridges', 'Zooey Deschanel', 'Jon Heder', 'James Woods', 'Diedrich Bader']"
89,14,<WikipediaPage 'The Nutcracker in 3D'>,"['Elle Fanning', 'Nathan Lane', 'Frances de la Tour', 'John Turturro', 'Richard E. Grant', 'Julia Vysotskaya']"
90,15,<WikipediaPage 'Captain America: Civil War'>,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Frank Grillo', 'William Hurt', 'Daniel Brühl']"
91,15,error,error
92,15,<WikipediaPage 'Interpol notice'>,error
93,15,error,error
94,15,<WikipediaPage 'Blood Diamond'>,"['Leonardo DiCaprio', 'Jennifer Connelly', 'Djimon Hounsou', 'Michael Sheen', 'Arnold Vosloo']"
95,15,error,error
96,16,<WikipediaPage 'Harry Potter and the Half-Blood Prince (film)'>,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Jim Broadbent', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Michael Gambon', 'Alan Rickman', 'Maggie Smith', 'Timothy Spall', 'David Thewlis', 'Julie Walters']"
97,16,<WikipediaPage 'Ralph Breaks the Internet'>,"['John C. Reilly', 'Sarah Silverman', 'Gal Gadot', 'Taraji P. Henson', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk', 'Alfred Molina', ""Ed O'Neill""]"
98,16,<WikipediaPage 'Moonfall (film)'>,"['Halle Berry', 'Patrick Wilson', 'John Bradley', 'Charlie Plummer', 'Michael Peña', 'Donald Sutherland']"
99,16,<WikipediaPage 'Charlie's Angels: Full Throttle'>,"['Cameron Diaz', 'Lucy Liu', 'Bernie Mac', 'Crispin Glover', 'Justin Theroux', 'Robert Patrick', 'Demi Moore']"
100,16,error,error
