Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross 
5/23/2012,2012,Men in Black 3,"  $215,000,000 ","  $179,020,854 ","  $654,213,485 "
6/24/2009,2009,Transformers: Revenge of the Fallen,"  $210,000,000 ","  $402,111,870 ","  $836,519,699 "
6/25/2014,2014,Transformers: Age of Extinction,"  $210,000,000 ","  $245,439,076 ","  $1,104,054,072 "
5/26/2006,2006,X-Men: The Last Stand,"  $210,000,000 ","  $234,362,462 ","  $459,260,946 "
5/14/2010,2010,Robin Hood,"  $210,000,000 ","  $105,487,148 ","  $322,459,006 "
12/14/2005,2005,King Kong,"  $207,000,000 ","  $218,080,025 ","  $550,517,357 "
12/7/2007,2007,The Golden Compass,"  $205,000,000 ","  $70,107,728 ","  $367,262,558 "
8/26/2020,2020,Tenet,"  $205,000,000 ","  $57,929,000 ","  $361,875,852 "
2/13/2018,2018,Black Panther,"  $200,000,000 ","  $700,059,566 ","  $1,336,494,321 "
12/18/1997,1997,Titanic,"  $200,000,000 ","  $659,363,944 ","  $2,207,986,545 "
12/13/2017,2017,Star Wars Ep. VIII: The Last Jedi,"  $200,000,000 ","  $620,181,382 ","  $1,331,635,141 "
6/15/2018,2018,Incredibles 2,"  $200,000,000 ","  $608,581,744 ","  $1,242,805,359 "
12/14/2016,2016,Rogue One: A Star Wars Story,"  $200,000,000 ","  $532,177,324 ","  $1,055,135,598 "
6/16/2016,2016,Finding Dory,"  $200,000,000 ","  $486,295,561 ","  $1,025,006,125 "
6/20/2019,2019,Toy Story 4,"  $200,000,000 ","  $434,038,008 ","  $1,073,080,329 "
6/18/2010,2010,Toy Story 3,"  $200,000,000 ","  $415,004,880 ","  $1,068,879,522 "
4/24/2013,2013,Iron Man 3,"  $200,000,000 ","  $408,992,272 ","  $1,215,392,272 "
4/28/2017,2017,Guardians of the Galaxy Vol 2,"  $200,000,000 ","  $389,813,101 ","  $869,113,101 "
6/30/2004,2004,Spider-Man 2,"  $200,000,000 ","  $373,524,485 ","  $794,697,557 "
3/4/2010,2010,Alice in Wonderland,"  $200,000,000 ","  $334,191,110 ","  $1,025,491,110 "
10/26/2012,2012,Skyfall,"  $200,000,000 ","  $304,360,277 ","  $1,110,526,981 "
12/11/2012,2012,The Hobbit: An Unexpected Journey,"  $200,000,000 ","  $303,003,568 ","  $1,014,938,545 "
6/21/2013,2013,Monsters University,"  $200,000,000 ","  $268,488,329 ","  $743,455,810 "
3/8/2013,2013,Oz the Great and Powerful,"  $200,000,000 ","  $234,770,996 ","  $490,359,051 "
5/21/2014,2014,X-Men: Days of Future Past,"  $200,000,000 ","  $233,921,534 ","  $747,862,775 "
4/16/2014,2014,The Amazing Spider-Man 2,"  $200,000,000 ","  $202,853,933 ","  $708,996,336 "
6/23/2011,2011,Cars 2,"  $200,000,000 ","  $191,450,875 ","  $560,155,383 "
7/31/2019,2019,Fast & Furious Presents: Hobbs & Shaw,"  $200,000,000 ","  $173,956,935 ","  $760,374,590 "
12/17/2010,2010,Tron: Legacy,"  $200,000,000 ","  $172,062,763 ","  $399,866,199 "
11/12/2009,2009,2012,"  $200,000,000 ","  $166,112,167 ","  $757,677,748 "
11/14/2018,2018,Fantastic Beasts: The Crimes of Grindelwald,"  $200,000,000 ","  $159,555,901 ","  $651,280,475 "
7/7/2021,2021,Black Widow,"  $200,000,000 ","  $132,012,671 ","  $264,012,671 "
5/21/2009,2009,Terminator Salvation,"  $200,000,000 ","  $125,322,469 ","  $365,491,792 "
6/17/2011,2011,Green Lantern,"  $200,000,000 ","  $116,601,172 ","  $219,535,492 "
5/28/2010,2010,Prince of Persia: Sands of Time,"  $200,000,000 ","  $90,759,676 ","  $336,359,676 "
6/5/2019,2019,Dark Phoenix,"  $200,000,000 ","  $65,845,974 ","  $246,356,895 "
2/28/2020,2020,Onward,"  $200,000,000 ","  $61,555,145 ","  $133,337,294 "
12/16/2020,2020,Wonder Woman 1984,"  $200,000,000 ","  $46,530,051 ","  $166,089,247 "
9/4/2020,2020,Mulan,"  $200,000,000 ",  $0 ,"  $69,965,374 "
10/28/2021,2021,Eternals,"  $200,000,000 ",  $0 ,  $0 
6/29/2011,2011,Transformers: Dark of the Moon,"  $195,000,000 ","  $352,390,543 ","  $1,123,794,079 "
6/2/2017,2017,The Mummy,"  $195,000,000 ","  $80,101,125 ","  $409,953,905 "
2/27/2013,2013,Jack the Giant Slayer,"  $195,000,000 ","  $65,187,603 ","  $197,687,603 "
4/1/2015,2015,Furious 7,"  $190,000,000 ","  $353,007,020 ","  $1,516,881,526 "
5/16/2013,2013,Star Trek Into Darkness,"  $190,000,000 ","  $228,778,661 ","  $467,381,584 "
6/19/2013,2013,World War Z,"  $190,000,000 ","  $202,706,711 ","  $531,861,650 "
5/10/2013,2013,The Great Gatsby,"  $190,000,000 ","  $144,840,419 ","  $353,640,419 "
11/6/2009,2009,Disney’s A Christmas Carol,"  $190,000,000 ","  $137,855,863 ","  $315,709,697 "
7/11/2013,2013,Pacific Rim,"  $190,000,000 ","  $101,802,906 ","  $411,002,906 "
11/25/2015,2015,The Good Dinosaur,"  $187,500,000 ","  $123,087,120 ","  $333,771,037 "
5/2/2008,2008,Iron Man,"  $186,000,000 ","  $318,604,126 ","  $585,171,547 "
7/11/2008,2008,The Dark Knight,"  $185,000,000 ","  $533,720,947 ","  $999,046,281 "
5/22/2008,2008,Indiana Jones and the Kingdom of the Crystal Skull,"  $185,000,000 ","  $317,101,119 ","  $786,635,413 "
6/21/2012,2012,Brave,"  $185,000,000 ","  $237,282,182 ","  $554,606,532 "
2/23/2017,2017,Kong: Skull Island,"  $185,000,000 ","  $168,052,812 ","  $561,072,059 "
7/21/2016,2016,Star Trek Beyond,"  $185,000,000 ","  $158,848,340 ","  $335,673,708 "
10/17/2019,2019,Maleficent: Mistress of Evil,"  $185,000,000 ","  $113,929,605 ","  $489,346,495 "
9/29/2017,2017,Blade Runner 2049,"  $185,000,000 ","  $92,054,159 ","  $259,238,971 "
10/25/2019,2019,Terminator: Dark Fate,"  $185,000,000 ","  $62,253,077 ","  $250,372,367 "
5/22/2019,2019,Aladdin,"  $182,000,000 ","  $355,559,216 ","  $1,046,649,706 "
10/25/2017,2017,Thor: Ragnarok,"  $180,000,000 ","  $315,058,289 ","  $850,482,778 "
12/9/2005,2005,"The Chronicles of Narnia: The Lion, the Witch a…","  $180,000,000 ","  $291,710,957 ","  $720,539,572 "
5/28/2014,2014,Maleficent,"  $180,000,000 ","  $241,407,328 ","  $758,536,735 "
11/14/2016,2016,Fantastic Beasts and Where to Find Them,"  $180,000,000 ","  $234,037,575 ","  $811,724,385 "
6/27/2008,2008,WALL-E,"  $180,000,000 ","  $223,808,164 ","  $532,508,025 "
8/10/2007,2007,Rush Hour 3,"  $180,000,000 ","  $140,125,968 ","  $256,585,882 "
6/27/2016,2016,The Legend of Tarzan,"  $180,000,000 ","  $126,643,061 ","  $348,902,025 "
11/23/2011,2011,Hugo,"  $180,000,000 ","  $73,864,507 ","  $180,047,784 "
7/20/2017,2017,Valerian and the City of a Thousand Planets,"  $180,000,000 ","  $40,479,370 ","  $215,098,356 "
2/6/2015,2015,Jupiter Ascending,"  $179,000,000 ","  $47,482,519 ","  $181,982,519 "
7/16/2018,2018,Mission: Impossible—Fallout,"  $178,000,000 ","  $220,159,104 ","  $787,176,729 "
5/18/2016,2016,X-Men: Apocalypse,"  $178,000,000 ","  $155,442,489 ","  $542,537,546 "
8/9/2018,2018,The Meg,"  $178,000,000 ","  $145,443,742 ","  $527,370,715 "
5/28/2014,2014,Edge of Tomorrow,"  $178,000,000 ","  $100,206,256 ","  $367,028,980 "
3/6/2019,2019,Captain Marvel,"  $175,000,000 ","  $426,829,839 ","  $1,129,727,388 "
4/7/2016,2016,The Jungle Book,"  $175,000,000 ","  $364,001,123 ","  $953,554,418 "
6/12/2015,2015,Inside Out,"  $175,000,000 ","  $356,461,711 ","  $855,038,387 "
7/5/2017,2017,Spider-Man: Homecoming,"  $175,000,000 ","  $334,201,140 ","  $880,166,350 "
8/2/2016,2016,Suicide Squad,"  $175,000,000 ","  $325,100,054 ","  $746,846,894 "
5/28/2009,2009,Up,"  $175,000,000 ","  $293,004,164 ","  $731,463,377 "
10/27/2017,2017,Coco,"  $175,000,000 ","  $210,460,015 ","  $798,237,597 "
11/21/2018,2018,Ralph Breaks The Internet,"  $175,000,000 ","  $201,091,711 ","  $529,290,830 "
3/27/2009,2009,Monsters vs. Aliens,"  $175,000,000 ","  $198,351,526 ","  $381,687,380 "
6/16/2017,2017,Cars 3,"  $175,000,000 ","  $152,901,115 ","  $383,541,369 "
8/7/2009,2009,G.I. Joe: The Rise of Cobra,"  $175,000,000 ","  $150,201,498 ","  $302,469,017 "
6/30/1999,1999,Wild Wild West,"  $175,000,000 ","  $113,805,681 ","  $221,229,335 "
8/1/2008,2008,The Mummy: Tomb of the Dragon Emperor,"  $175,000,000 ","  $102,491,776 ","  $405,760,225 "
6/22/2007,2007,Evan Almighty,"  $175,000,000 ","  $100,289,690 ","  $174,131,329 "
7/28/1995,1995,Waterworld,"  $175,000,000 ","  $88,246,220 ","  $264,246,220 "
1/8/2020,2020,Dolittle,"  $175,000,000 ","  $77,047,065 ","  $251,409,156 "
5/11/2017,2017,King Arthur: Legend of the Sword,"  $175,000,000 ","  $39,175,066 ","  $139,630,336 "
12/6/2013,2013,47 Ronin,"  $175,000,000 ","  $38,362,475 ","  $151,716,815 "
6/6/2018,2018,Jurassic World: Fallen Kingdom,"  $170,000,000 ","  $417,719,760 ","  $1,308,334,005 "
7/31/2014,2014,Guardians of the Galaxy,"  $170,000,000 ","  $333,714,112 ","  $770,882,395 "
5/7/2010,2010,Iron Man 2,"  $170,000,000 ","  $312,433,331 ","  $621,156,389 "
3/28/2014,2014,Captain America: The Winter Soldier,"  $170,000,000 ","  $259,746,958 ","  $714,401,889 "
7/9/2014,2014,Dawn of the Planet of the Apes,"  $170,000,000 ","  $208,545,589 ","  $710,644,566 "
11/10/2004,2004,The Polar Express,"  $170,000,000 ","  $188,578,855 ","  $312,719,437 "
5/30/2012,2012,Snow White and the Huntsman,"  $170,000,000 ","  $155,136,755 ","  $401,021,746 "
7/1/2003,2003,Terminator 3: Rise of the Machines,"  $170,000,000 ","  $150,358,296 ","  $433,058,296 "
5/5/2004,2004,Van Helsing,"  $170,000,000 ","  $120,150,546 ","  $300,150,546 "
3/27/2019,2019,Dumbo,"  $170,000,000 ","  $114,766,307 ","  $353,166,307 "
5/29/2019,2019,Godzilla: King of the Monsters,"  $170,000,000 ","  $110,500,138 ","  $383,299,915 "
5/20/2015,2015,Tomorrowland,"  $170,000,000 ","  $93,436,322 ","  $206,627,518 "
2/1/2019,2019,Alita: Battle Angel,"  $170,000,000 ","  $85,838,210 ","  $401,900,040 "
5/20/2016,2016,Alice Through the Looking Glass,"  $170,000,000 ","  $77,042,381 ","  $276,928,112 "
5/21/2010,2010,Shrek Forever After,"  $165,000,000 ","  $238,736,787 ","  $756,244,673 "
10/24/2016,2016,Doctor Strange,"  $165,000,000 ","  $232,641,920 ","  $676,354,481 "
10/25/2014,2014,Big Hero 6,"  $165,000,000 ","  $222,527,828 ","  $649,657,407 "
3/26/2010,2010,How to Train Your Dragon,"  $165,000,000 ","  $217,581,232 ","  $494,870,992 "
11/1/2012,2012,Wreck-It Ralph,"  $165,000,000 ","  $189,412,677 ","  $496,511,521 "
11/5/2014,2014,Interstellar,"  $165,000,000 ","  $188,017,894 ","  $651,994,868 "
6/22/2016,2016,Independence Day: Resurgence,"  $165,000,000 ","  $103,144,286 ","  $384,169,424 "
9/30/2021,2021,Dune,"  $165,000,000 ",  $0 ,  $0 
7/29/2011,2011,Cowboys and Aliens,"  $163,000,000 ","  $100,368,560 ","  $176,038,324 "
3/16/2017,2017,Beauty and the Beast,"  $160,000,000 ","  $504,014,165 ","  $1,255,080,655 "
6/27/2019,2019,Spider-Man: Far From Home,"  $160,000,000 ","  $390,532,085 ","  $1,132,183,514 "
12/6/2018,2018,Aquaman,"  $160,000,000 ","  $335,061,807 ","  $1,143,758,700 "
5/17/2007,2007,Shrek the Third,"  $160,000,000 ","  $322,719,944 ","  $807,330,936 "
7/16/2010,2010,Inception,"  $160,000,000 ","  $292,576,195 ","  $728,582,465 "
11/18/2015,2015,The Hunger Games: Mockingjay - Part 2,"  $160,000,000 ","  $281,723,902 ","  $648,986,787 "
5/17/2013,2013,Fast and Furious 6,"  $160,000,000 ","  $238,679,850 ","  $789,300,444 "
5/14/2014,2014,Godzilla,"  $160,000,000 ","  $200,676,069 ","  $529,076,069 "
6/3/2011,2011,X-Men: First Class,"  $160,000,000 ","  $146,408,305 ","  $355,408,305 "
12/25/2008,2008,The Curious Case of Benjamin Button,"  $160,000,000 ","  $127,509,326 ","  $329,631,958 "
7/14/2010,2010,The Sorcerer s Apprentice,"  $160,000,000 ","  $63,150,991 ","  $217,986,320 "
5/12/2006,2006,Poseidon,"  $160,000,000 ","  $60,674,817 ","  $181,674,817 "
5/25/2016,2016,Warcraft,"  $160,000,000 ","  $47,365,290 ","  $438,899,824 "
11/1/2019,2019,The Irishman,"  $159,000,000 ",  $0 ,"  $910,234 "
9/29/2016,2016,Deepwater Horizon,"  $156,000,000 ","  $61,433,527 ","  $122,603,824 "
12/10/2010,2010,The Chronicles of Narnia: The Voyage of the Daw…,"  $155,000,000 ","  $104,386,950 ","  $418,186,950 "
3/25/2021,2021,Godzilla vs. Kong,"  $155,000,000 ","  $100,563,133 ","  $459,463,133 "
6/24/2015,2015,Terminator: Genisys,"  $155,000,000 ","  $89,760,956 ","  $432,150,894 "
3/16/2018,2018,Pacific Rim: Uprising,"  $155,000,000 ","  $59,874,525 ","  $290,930,148 "
11/24/2004,2004,Alexander,"  $155,000,000 ","  $34,297,191 ","  $167,297,191 "
7/14/2017,2017,War for the Planet of the Apes,"  $152,000,000 ","  $146,880,162 ","  $489,592,267 "
5/25/2001,2001,Pearl Harbor,"  $151,500,000 ","  $198,539,855 ","  $449,239,853 "
7/2/2007,2007,Transformers,"  $151,000,000 ","  $319,246,193 ","  $708,272,592 "
11/20/2019,2019,Frozen II,"  $150,000,000 ","  $477,373,578 ","  $1,446,925,396 "
5/29/2017,2017,Wonder Woman,"  $150,000,000 ","  $412,563,408 ","  $818,058,221 "
11/22/2013,2013,Frozen,"  $150,000,000 ","  $400,953,009 ","  $1,266,648,320 "
2/10/2016,2016,Zootopia,"  $150,000,000 ","  $341,268,248 ","  $1,005,304,638 "
7/11/2007,2007,Harry Potter and the Order of the Phoenix,"  $150,000,000 ","  $292,137,260 ","  $940,743,940 "
11/18/2005,2005,Harry Potter and the Goblet of Fire,"  $150,000,000 ","  $290,201,752 ","  $891,320,084 "
5/15/2003,2003,The Matrix Reloaded,"  $150,000,000 ","  $281,553,689 ","  $738,576,929 "
12/14/2007,2007,I am Legend,"  $150,000,000 ","  $256,393,010 ","  $585,532,684 "
1/27/2016,2016,Moana,"  $150,000,000 ","  $248,757,044 ","  $635,606,103 "
7/1/2008,2008,Hancock,"  $150,000,000 ","  $227,946,274 ","  $624,234,272 "
7/15/2005,2005,Charlie and the Chocolate Factory,"  $150,000,000 ","  $206,459,076 ","  $475,825,484 "
6/29/2007,2007,Ratatouille,"  $150,000,000 ","  $206,445,654 ","  $626,549,695 "
10/30/2013,2013,Thor: The Dark World,"  $150,000,000 ","  $206,362,140 ","  $644,602,516 "
6/15/2005,2005,Batman Begins,"  $150,000,000 ","  $205,343,774 ","  $359,004,502 "
7/29/2015,2015,Mission: Impossible—Rogue Nation,"  $150,000,000 ","  $195,042,377 ","  $688,858,992 "
7/18/2017,2017,Dunkirk,"  $150,000,000 ","  $190,068,280 ","  $519,452,014 "
4/29/2011,2011,Thor,"  $150,000,000 ","  $181,030,624 ","  $449,326,618 "
11/7/2008,2008,Madagascar: Escape 2 Africa,"  $150,000,000 ","  $180,174,880 ","  $599,680,774 "
5/1/2009,2009,X-Men Origins: Wolverine,"  $150,000,000 ","  $179,883,157 ","  $374,825,760 "
5/22/2009,2009,Night at the Museum: Battle of the Smithsonian,"  $150,000,000 ","  $177,243,721 ","  $402,231,063 "
5/26/2011,2011,Kung Fu Panda 2,"  $150,000,000 ","  $165,249,063 ","  $664,837,547 "
5/14/2015,2015,Mad Max: Fury Road,"  $150,000,000 ","  $153,636,354 ","  $367,457,874 "
5/3/2019,2019,Pokémon: Detective Pikachu,"  $150,000,000 ","  $144,105,346 ","  $431,947,558 "
11/5/2003,2003,The Matrix Revolutions,"  $150,000,000 ","  $139,270,910 ","  $427,300,260 "
3/20/2018,2018,Ready Player One,"  $150,000,000 ","  $137,690,172 ","  $579,055,653 "
11/4/2005,2005,Chicken Little,"  $150,000,000 ","  $135,386,665 ","  $310,043,823 "
5/5/2006,2006,Mission: Impossible III,"  $150,000,000 ","  $133,501,348 ","  $399,387,745 "
5/15/2009,2009,Angels & Demons,"  $150,000,000 ","  $133,375,846 ","  $490,875,846 "
5/13/2004,2004,Troy,"  $150,000,000 ","  $133,298,577 ","  $483,152,040 "
7/1/2010,2010,The Last Airbender,"  $150,000,000 ","  $131,772,187 ","  $319,713,881 "
11/2/2007,2007,Bee Movie,"  $150,000,000 ","  $126,631,277 ","  $287,594,577 "
7/24/2009,2009,G-Force,"  $150,000,000 ","  $119,436,770 ","  $292,817,841 "
11/21/2008,2008,Bolt,"  $150,000,000 ","  $114,053,579 ","  $328,015,029 "
3/28/2012,2012,Wrath of the Titans,"  $150,000,000 ","  $83,670,083 ","  $305,270,083 "
11/16/2007,2007,Beowulf,"  $150,000,000 ","  $82,280,579 ","  $195,080,579 "
5/9/2012,2012,Dark Shadows,"  $150,000,000 ","  $79,727,149 ","  $238,202,668 "
6/28/2013,2013,White House Down,"  $150,000,000 ","  $73,103,784 ","  $205,440,387 "
2/12/2010,2010,The Wolfman,"  $150,000,000 ","  $62,189,884 ","  $142,634,358 "
12/15/2016,2016,The Great Wall,"  $150,000,000 ","  $45,157,105 ","  $334,486,852 "
9/25/2015,2015,Pan,"  $150,000,000 ","  $35,088,320 ","  $151,525,973 "
7/15/2021,2021,Space Jam: A New Legacy,"  $150,000,000 ","  $31,650,000 ","  $54,661,000 "
3/11/2011,2011,Mars Needs Moms,"  $150,000,000 ","  $21,392,758 ","  $39,549,758 "
7/13/1905,1905,Red Notice,"  $150,000,000 ",  $0 ,  $0 
2/4/2022,2022,Moonfall,"  $150,000,000 ",  $0 ,  $0 
11/3/2006,2006,Flushed Away,"  $149,000,000 ","  $64,665,672 ","  $179,357,126 "
6/8/2012,2012,Madagascar 3: Europe s Most Wanted,"  $145,000,000 ","  $216,391,482 ","  $746,921,271 "
12/14/2011,2011,Mission: Impossible—Ghost Protocol,"  $145,000,000 ","  $209,397,903 ","  $694,713,230 "
6/5/2014,2014,How to Train Your Dragon 2,"  $145,000,000 ","  $177,002,924 ","  $614,586,270 "
6/16/1999,1999,Tarzan,"  $145,000,000 ","  $171,091,819 ","  $448,191,819 "
2/20/2014,2014,Mr. Peabody & Sherman,"  $145,000,000 ","  $111,506,430 ","  $269,806,430 "
11/20/2012,2012,Rise of the Guardians,"  $145,000,000 ","  $103,412,758 ","  $306,900,902 "
4/8/2005,2005,Sahara,"  $145,000,000 ","  $68,671,925 ","  $121,645,390 "
7/13/2016,2016,Ghostbusters,"  $144,000,000 ","  $128,350,574 ","  $229,008,658 "
11/22/2002,2002,Die Another Day,"  $142,000,000 ","  $160,942,139 ","  $431,942,139 "
7/9/2003,2003,Pirates of the Caribbean: The Curse of the Blac…,"  $140,000,000 ","  $305,410,819 ","  $654,310,819 "
5/8/2009,2009,Star Trek,"  $140,000,000 ","  $257,730,019 ","  $386,839,614 "
7/1/1998,1998,Armageddon,"  $140,000,000 ","  $201,578,182 ","  $554,600,000 "
7/3/2002,2002,Men in Black 2,"  $140,000,000 ","  $190,418,803 ","  $441,767,803 "
7/22/2011,2011,Captain America: The First Avenger,"  $140,000,000 ","  $176,654,505 ","  $370,569,776 "
1/23/2016,2016,Kung Fu Panda 3,"  $140,000,000 ","  $143,528,619 ","  $521,170,825 "
7/10/1998,1998,Lethal Weapon 4,"  $140,000,000 ","  $130,444,603 ","  $285,400,000 "
3/27/2013,2013,G.I. Joe: Retaliation,"  $140,000,000 ","  $122,523,060 ","  $375,740,705 "
12/5/2003,2003,The Last Samurai,"  $140,000,000 ","  $111,110,575 ","  $456,810,575 "
12/21/2005,2005,Fun With Dick And Jane,"  $140,000,000 ","  $110,550,000 ","  $203,018,919 "
12/5/2014,2014,Exodus: Gods and Kings,"  $140,000,000 ","  $65,014,513 ","  $268,314,513 "
6/30/2016,2016,The BFG,"  $140,000,000 ","  $55,483,770 ","  $199,646,680 "
10/3/2019,2019,Gemini Man,"  $140,000,000 ","  $48,546,770 ","  $166,623,705 "
2/24/2016,2016,Gods of Egypt,"  $140,000,000 ","  $31,153,464 ","  $138,836,756 "
11/19/2021,2021,Top Gun: Maverick,"  $140,000,000 ",  $0 ,  $0 
5/3/2002,2002,Spider-Man,"  $139,000,000 ","  $403,706,375 ","  $821,706,375 "
3/6/2009,2009,Watchmen,"  $138,000,000 ","  $107,509,799 ","  $186,976,250 "
7/29/2005,2005,Stealth,"  $138,000,000 ","  $32,116,746 ","  $76,416,746 "
6/13/2008,2008,The Incredible Hulk,"  $137,500,000 ","  $134,806,913 ","  $265,573,859 "
6/20/2003,2003,Hulk,"  $137,000,000 ","  $132,177,234 ","  $245,031,679 "
7/11/2001,2001,Final Fantasy: The Spirits Within,"  $137,000,000 ","  $32,131,830 ","  $85,131,830 "
11/14/2012,2012,"The Twilight Saga: Breaking Dawn, Part 2","  $136,200,000 ","  $292,324,737 ","  $829,724,737 "
3/15/2013,2013,The Croods,"  $135,000,000 ","  $187,168,425 ","  $573,068,425 "
12/25/2015,2015,The Revenant,"  $135,000,000 ","  $183,637,894 ","  $532,938,302 "
11/19/1999,1999,The World is Not Enough,"  $135,000,000 ","  $126,930,660 ","  $361,730,660 "
3/4/2011,2011,Rango,"  $135,000,000 ","  $123,477,607 ","  $245,724,600 "
11/14/2003,2003,Master and Commander: The Far Side of the World,"  $135,000,000 ","  $93,926,386 ","  $212,912,137 "
7/17/2013,2013,Turbo,"  $135,000,000 ","  $83,028,130 ","  $286,896,578 "
6/2/2016,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,"  $135,000,000 ","  $82,051,601 ","  $245,328,374 "
11/18/2011,2011,Happy Feet Two,"  $135,000,000 ","  $64,006,466 ","  $157,956,466 "
7/28/2006,2006,Miami Vice,"  $135,000,000 ","  $63,478,838 ","  $164,920,076 "
10/31/2018,2018,The Nutcracker and the Four Realms,"  $132,900,000 ","  $54,858,851 ","  $170,024,300 "
6/24/2005,2005,War of the Worlds,"  $132,000,000 ","  $234,280,354 ","  $606,836,535 "
11/26/2014,2014,Penguins of Madagascar,"  $132,000,000 ","  $83,350,911 ","  $366,942,531 "
11/15/2013,2013,The Hunger Games: Catching Fire,"  $130,000,000 ","  $424,668,047 ","  $864,868,047 "
5/31/2004,2004,Harry Potter and the Prisoner of Azkaban,"  $130,000,000 ","  $249,757,726 ","  $789,961,033 "
8/3/2007,2007,The Bourne Ultimatum,"  $130,000,000 ","  $227,471,070 ","  $444,043,396 "
7/3/2018,2018,Ant-Man and the Wasp,"  $130,000,000 ","  $216,648,740 ","  $623,144,660 "
6/6/2008,2008,Kung Fu Panda,"  $130,000,000 ","  $215,434,591 ","  $631,910,531 "
7/14/2015,2015,Ant-Man,"  $130,000,000 ","  $180,202,163 ","  $518,858,449 "
3/19/2015,2015,Home,"  $130,000,000 ","  $177,397,510 ","  $385,997,896 "
12/19/2018,2018,Mary Poppins Returns,"  $130,000,000 ","  $171,958,438 ","  $348,901,032 "
10/28/2011,2011,Puss in Boots,"  $130,000,000 ","  $149,260,504 ","  $554,987,477 "
11/5/2010,2010,Megamind,"  $130,000,000 ","  $148,415,853 ","  $321,887,208 "
