Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross ,W2
1/8/2020,2020,Dolittle,"  $175,000,000 ","  $77,047,065 ","  $251,409,156 ",<WikipediaPage 'Dolittle (film)'>
5/11/2017,2017,King Arthur: Legend of the Sword,"  $175,000,000 ","  $39,175,066 ","  $139,630,336 ",<WikipediaPage 'King Arthur: Legend of the Sword'>
12/6/2013,2013,47 Ronin,"  $175,000,000 ","  $38,362,475 ","  $151,716,815 ",<WikipediaPage 'Forty-seven rōnin'>
6/6/2018,2018,Jurassic World: Fallen Kingdom,"  $170,000,000 ","  $417,719,760 ","  $1,308,334,005 ",<WikipediaPage 'Jurassic World: Fallen Kingdom'>
7/31/2014,2014,Guardians of the Galaxy,"  $170,000,000 ","  $333,714,112 ","  $770,882,395 ",<WikipediaPage 'Guardians of the Galaxy Vol. 2'>
5/7/2010,2010,Iron Man 2,"  $170,000,000 ","  $312,433,331 ","  $621,156,389 ",<WikipediaPage 'Iron Man 2'>
3/28/2014,2014,Captain America: The Winter Soldier,"  $170,000,000 ","  $259,746,958 ","  $714,401,889 ",<WikipediaPage 'Captain America: The Winter Soldier'>
7/9/2014,2014,Dawn of the Planet of the Apes,"  $170,000,000 ","  $208,545,589 ","  $710,644,566 ",<WikipediaPage 'Dawn of the Planet of the Apes'>
11/10/2004,2004,The Polar Express,"  $170,000,000 ","  $188,578,855 ","  $312,719,437 ",<WikipediaPage 'The Polar Express (film)'>
5/30/2012,2012,Snow White and the Huntsman,"  $170,000,000 ","  $155,136,755 ","  $401,021,746 ",<WikipediaPage 'Snow White and the Huntsman'>
7/1/2003,2003,Terminator 3: Rise of the Machines,"  $170,000,000 ","  $150,358,296 ","  $433,058,296 ",<WikipediaPage 'Terminator 3: Rise of the Machines'>
5/5/2004,2004,Van Helsing,"  $170,000,000 ","  $120,150,546 ","  $300,150,546 ",<WikipediaPage 'Abraham Van Helsing'>
3/27/2019,2019,Dumbo,"  $170,000,000 ","  $114,766,307 ","  $353,166,307 ",<WikipediaPage 'Dumbo'>
5/29/2019,2019,Godzilla: King of the Monsters,"  $170,000,000 ","  $110,500,138 ","  $383,299,915 ",<WikipediaPage 'Godzilla: King of the Monsters (2019 film)'>
5/20/2015,2015,Tomorrowland,"  $170,000,000 ","  $93,436,322 ","  $206,627,518 ",<WikipediaPage 'Tomorrowland'>
2/1/2019,2019,Alita: Battle Angel,"  $170,000,000 ","  $85,838,210 ","  $401,900,040 ",<WikipediaPage 'Alita: Battle Angel'>
5/20/2016,2016,Alice Through the Looking Glass,"  $170,000,000 ","  $77,042,381 ","  $276,928,112 ",<WikipediaPage 'Through the Looking-Glass'>
5/21/2010,2010,Shrek Forever After,"  $165,000,000 ","  $238,736,787 ","  $756,244,673 ",<WikipediaPage 'Shrek Forever After'>
10/24/2016,2016,Doctor Strange,"  $165,000,000 ","  $232,641,920 ","  $676,354,481 ",<WikipediaPage 'Doctor Strange'>
10/25/2014,2014,Big Hero 6,"  $165,000,000 ","  $222,527,828 ","  $649,657,407 ",<WikipediaPage 'Big Hero 6 (film)'>
3/26/2010,2010,How to Train Your Dragon,"  $165,000,000 ","  $217,581,232 ","  $494,870,992 ",<WikipediaPage 'How to Train Your Dragon'>
11/1/2012,2012,Wreck-It Ralph,"  $165,000,000 ","  $189,412,677 ","  $496,511,521 ",<WikipediaPage 'Wreck-It Ralph'>
11/5/2014,2014,Interstellar,"  $165,000,000 ","  $188,017,894 ","  $651,994,868 ",error
6/22/2016,2016,Independence Day: Resurgence,"  $165,000,000 ","  $103,144,286 ","  $384,169,424 ",<WikipediaPage 'Independence Day: Resurgence'>
9/30/2021,2021,Dune,"  $165,000,000 ",  $0 ,  $0 ,<WikipediaPage 'Dune'>
7/29/2011,2011,Cowboys and Aliens,"  $163,000,000 ","  $100,368,560 ","  $176,038,324 ",<WikipediaPage 'Cowboys & Aliens'>
3/16/2017,2017,Beauty and the Beast,"  $160,000,000 ","  $504,014,165 ","  $1,255,080,655 ",<WikipediaPage 'Beauty and the Beast'>
6/27/2019,2019,Spider-Man: Far From Home,"  $160,000,000 ","  $390,532,085 ","  $1,132,183,514 ",<WikipediaPage 'Spider-Man: Far From Home'>
12/6/2018,2018,Aquaman,"  $160,000,000 ","  $335,061,807 ","  $1,143,758,700 ",<WikipediaPage 'Aquaman'>
5/17/2007,2007,Shrek the Third,"  $160,000,000 ","  $322,719,944 ","  $807,330,936 ",<WikipediaPage 'Shrek the Third'>
7/16/2010,2010,Inception,"  $160,000,000 ","  $292,576,195 ","  $728,582,465 ",<WikipediaPage 'Inception'>
11/18/2015,2015,The Hunger Games: Mockingjay - Part 2,"  $160,000,000 ","  $281,723,902 ","  $648,986,787 ",<WikipediaPage 'The Hunger Games: Mockingjay – Part 2'>
5/17/2013,2013,Fast and Furious 6,"  $160,000,000 ","  $238,679,850 ","  $789,300,444 ",<WikipediaPage 'Fast & Furious 6'>
5/14/2014,2014,Godzilla,"  $160,000,000 ","  $200,676,069 ","  $529,076,069 ",<WikipediaPage 'Godzilla'>
6/3/2011,2011,X-Men: First Class,"  $160,000,000 ","  $146,408,305 ","  $355,408,305 ",<WikipediaPage 'X-Men: First Class'>
12/25/2008,2008,The Curious Case of Benjamin Button,"  $160,000,000 ","  $127,509,326 ","  $329,631,958 ",<WikipediaPage 'The Curious Case of Benjamin Button (film)'>
7/14/2010,2010,The Sorcerer s Apprentice,"  $160,000,000 ","  $63,150,991 ","  $217,986,320 ",<WikipediaPage 'The Sorcerer's Apprentice'>
5/12/2006,2006,Poseidon,"  $160,000,000 ","  $60,674,817 ","  $181,674,817 ",<WikipediaPage 'Poseidon'>
5/25/2016,2016,Warcraft,"  $160,000,000 ","  $47,365,290 ","  $438,899,824 ",<WikipediaPage 'Warcraft'>
11/1/2019,2019,The Irishman,"  $159,000,000 ",  $0 ,"  $910,234 ",<WikipediaPage 'The Irishman'>
