1917	keyerror
	['Boyd Holbrook', 'Trevante Rhodes', 'Jacob Tremblay', 'Keegan-Michael Key', 'Olivia Munn', 'Thomas Jane', 'Alfie Allen', 'Sterling K. Brown']
	0
The Road to El Dorado	0
The Rundown	['Dwayne Johnson', 'Seann William Scott', 'Christopher Walken', 'Rosario Dawson', 'Ewen Bremner', 'William Lucking']
The Secret Life of Pets 2	['Patton Oswalt', 'Kevin Hart', 'Eric Stonestreet', 'Jenny Slate', 'Tiffany Haddish', 'Lake Bell', 'Nick Kroll', 'Dana Carvey', 'Ellie Kemper', 'Chris Renaud', 'Hannibal Buress', 'Bobby Moynihan', 'Harrison Ford']
The Secret Life of Walter Mitty	keyerror
The Smurfs	keyerror
The Smurfs 2	0
The Spiderwick Chronicles	0
The Stepford Wives	keyerror
	['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman', 'Sylvester Stallone', 'Viola Davis', 'Jai Courtney', 'Peter Capaldi']
	0
The Three Musketeers	keyerror
	['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Kellan Lutz', 'Nikki Reed', 'Jackson Rathbone', 'Ashley Greene']
	0
	['Jonah Hill', 'Margot Robbie', 'Matthew McConaughey', 'Kyle Chandler', 'Rob Reiner', 'Jon Favreau', 'Jean Dujardin', 'Jon Bernthal']
	['Anthony Hopkins', 'Emily Blunt', 'Hugo Weaving']
The World is Not Enough	0
Thor	error
Thor: Ragnarok	['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Idris Elba', 'Jeff Goldblum', 'Tessa Thompson', 'Karl Urban', 'Mark Ruffalo', 'Anthony Hopkins']
Thor: The Dark World	['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård', 'Idris Elba', 'Christopher Eccleston', 'Adewale Akinnuoye-Agbaje', 'Kat Dennings', 'Ray Stevenson', 'Zachary Levi', 'Tadanobu Asano', 'Jaimie Alexander', 'Rene Russo']
	keyerror
Titanic	keyerror
Tomb Raider	keyerror
Tomorrowland	keyerror
Top Gun: Maverick	['Miles Teller', 'Jennifer Connelly', 'Jon Hamm', 'Glen Powell', 'Lewis Pullman', 'Ed Harris', 'Val Kilmer']
	['Arnold Schwarzenegger', 'Rachel Ticotin', 'Sharon Stone', 'Michael Ironside', 'Ronny Cox']
Tower Heist	['Ben Stiller', 'Casey Affleck', 'Alan Alda', 'Matthew Broderick', 'Judd Hirsch', 'Téa Leoni', 'Michael Peña', 'Gabourey Sidibe']
Toy Story 2	['Tom Hanks', 'Tim Allen']
Toy Story 4	['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key', 'Christina Hendricks', 'Jordan Peele', 'Keanu Reeves', 'Ally Maki', 'Jay Hernandez', 'Lori Alan', 'Joan Cusack', 'Wallace Shawn', 'John Ratzenberger', 'Blake Clark', 'Don Rickles', 'Estelle Harris', 'Bonnie Hunt', 'Jeff Garlin', 'Kristen Schaal', 'Timothy Dalton']
Transformers	keyerror
Transformers: Age of Extinction	['Mark Wahlberg', 'Stanley Tucci']
Transformers: Revenge of the Fallen	['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'John Turturro']
Transformers: The Last Knight	['Mark Wahlberg', 'Josh Duhamel', 'Stanley Tucci', 'Anthony Hopkins']
Treasure Planet	['Joseph Gordon-Levitt', 'Brian Murray', 'Emma Thompson', 'David Hyde Pierce', 'Martin Short', 'Michael Wincott', 'Laurie Metcalf', 'Roscoe Lee Browne']
	error
Tropic Thunder	['Jack Black', 'Robert Downey Jr.', 'Steve Coogan', 'Jay Baruchel', 'Danny McBride', 'Brandon T. Jackson', 'Bill Hader', 'Nick Nolte']
Troy	keyerror
True Lies	['Arnold Schwarzenegger', 'Jamie Lee Curtis', 'Tom Arnold', 'Bill Paxton', 'Art Malik', 'Tia Carrere']
	0
Volcano	error
WALL-E	['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver']
Warcraft	0
Watchmen	keyerror
Waterworld	['Dennis Hopper', 'Jeanne Tripplehorn', 'Tina Majorino', 'Michael Jeter']
What Lies Beneath	['Harrison Ford', 'Michelle Pfeiffer', 'Diana Scarwid']
Where the Wild Things Are	keyerror
White House Down	['Channing Tatum', 'Jamie Foxx', 'Maggie Gyllenhaal', 'Jason Clarke', 'Richard Jenkins', 'James Woods']
Wild Wild West	['Will Smith', 'Kevin Kline', 'Kenneth Branagh', 'Salma Hayek']
Windtalkers	['Nicolas Cage', 'Adam Beach', 'Peter Stormare', 'Noah Emmerich', 'Mark Ruffalo', 'Brian van Holt',"Frances O'Connor", 'Christian Slater']
	keyerror
Wonder Park	['Jennifer Garner', 'Matthew Broderick', 'John Oliver', 'Mila Kunis', 'Kenan Thompson', 'Ken Jeong', 'Norbert Leo Butz', 'Ken Hudson Campbell']
Wonder Woman	keyerror
Wonder Woman 1984	['Chris Pine', 'Kristen Wiig', 'Pedro Pascal', 'Robin Wright', 'Connie Nielsen']
World War Z	keyerror
Wrath of the Titans	['Sam Worthington', 'Rosamund Pike', 'Bill Nighy', 'Édgar Ramírez', 'Toby Kebbell', 'Danny Huston', 'Ralph Fiennes', 'Liam Neeson']
Wreck-It Ralph	['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk']
X-Men Origins: Wolverine	['Hugh Jackman', 'Liev Schreiber', 'Danny Huston', 'Dominic Monaghan', 'Ryan Reynolds']
X-Men: Apocalypse	['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Oscar Isaac', 'Nicholas Hoult', 'Rose Byrne', 'Tye Sheridan', 'Sophie Turner', 'Olivia Munn', 'Lucas Till']
X-Men: Days of Future Past	0
X-Men: First Class	0
X-Men: The Last Stand	['Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Famke Janssen', 'Anna Paquin', 'Kelsey Grammer', 'James Marsden', 'Rebecca Romijn', 'Shawn Ashmore', 'Aaron Stanford', 'Vinnie Jones', 'Patrick Stewart']
xXx: Return of Xander Cage	0
Yogi Bear	keyerror
	['John Turturro', 'Emmanuelle Chriqui', 'Nick Swardson', 'Lainie Kazan', 'Rob Schneider']
Zodiac	0
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
