1917	keyerror
	['Robert Duvall', 'Téa Leoni', 'Elijah Wood', 'Vanessa Redgrave', 'Maximilian Schell', 'Morgan Freeman']
Deepwater Horizon	0
	['Ryan Reynolds', 'Justice Smith', 'Kathryn Newton', 'Suki Waterhouse', 'Omar Chaparro', 'Chris Geere', 'Ken Watanabe', 'Bill Nighy']
Die Another Day	['Pierce Brosnan', 'Halle Berry', 'Toby Stephens', 'Rosamund Pike', 'Rick Yune', 'John Cleese', 'Judi Dench', 'Michael Madsen']
	['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson', 'Graham Greene', 'Colleen Camp', 'Larry Bryggman', 'Sam Phillips']
Dinosaur	keyerror
Django Unchained	['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington', 'Samuel L. Jackson', 'Walton Goggins', 'Dennis Christopher', 'James Remar', 'Michael Parks', 'Don Johnson']
	['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Harry Collett', 'Emma Thompson', 'Rami Malek', 'John Cena', 'Kumail Nanjiani', 'Octavia Spencer', 'Tom Holland', 'Ralph Fiennes', 'Selena Gomez', 'Marion Cotillard']
Dumbo	['Edward Brophy', 'Verna Felton', 'Cliff Edwards', 'Herman Bing', 'Sterling Holloway', 'Hall Johnson Choir']
Dune	error
Dunkirk	keyerror
Eagle Eye	['Shia LaBeouf', 'Michelle Monaghan', 'Rosario Dawson', 'Michael Chiklis', 'Anthony Mackie', 'Billy Bob Thornton']
Edge of Tomorrow	['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']
Elysium	error
	['Arnold Schwarzenegger', 'Gabriel Byrne', 'Kevin Pollak', 'Robin Tunney', 'Rod Steiger']
	0
Enemy at the Gates	['Joseph Fiennes', 'Jude Law', 'Rachel Weisz', 'Bob Hoskins', 'Ed Harris']
Eragon	keyerror
	keyerror
Evan Almighty	['Steve Carell', 'Morgan Freeman', 'Lauren Graham', 'John Goodman', 'John Michael Higgins', 'Jimmy Bennett', 'Wanda Sykes']
Face/Off	['John Travolta', 'Nicolas Cage', 'Joan Allen', 'Gina Gershon', 'Alessandro Nivola', 'Colm Feore']
