,name,bday,nationality,gender
355, 'Zac Efron',1987-10-18 00:00:00,American,male
356, 'Janet Jackson',1966-05-16 00:00:00,",",female
357, 'Larry Miller'],1953-10-15 00:00:00,",",male
358,['Ron Perlman',1950-04-13 00:00:00,American,male
359, 'Selma Blair',1972-06-23 00:00:00,American,female
360, 'John Hurt'],Sir John Vincent Hurt 22 January 1940 25 January 2017 was an English actor whose career spanned over five decades no bday found,English,male
361,['Adam Sandler',1966-09-09 00:00:00,American,male
362, 'James Cromwell',1940-01-27 00:00:00,American,male
363, 'Nelly',Cornell Iral Haynes Jr no bday found,,unclear
364, 'Burt Reynolds'],Burton Leon Reynolds Jr no bday found,,unclear
365,['Mary Elizabeth Winstead',1984-11-28 00:00:00,American,female
366, 'Jurnee Smollett-Bell',1986-10-01 00:00:00,American,female
367, 'Chris Messina',1974-08-11 00:00:00,American,male
368, 'Ella Jay Basco',2006-09-17 00:00:00,American,female
369, 'Ali Wong',1982-04-19 00:00:00,",",female
370, 'Amy Sedaris',1961-03-29 00:00:00,American,female
371, 'Eva Longoria',Eva Jacqueline Longoria Bast n n e Longoria March 15 1975 is an American actress and producer no bday found,American,female
372,['Michael Rapaport',1970-03-20 00:00:00,American,male
373, 'Sarah Wynter',1973-02-15 00:00:00,Australian,female
374, 'Jennifer Aniston',1969-02-11 00:00:00,American,female
375, 'Philip Baker Hall'],1931-09-10 00:00:00,American,male
376, 'Paul Giamatti'],1967-06-06 00:00:00,American,male
377,['Will Arnett',1970-05-04 00:00:00,Canadian-American,male
378, 'Michael Cera',1988-06-07 00:00:00,Canadian,male
379, 'Eric Stonestreet',1971-09-09 00:00:00,American,male
380, 'Nick Kroll',1978-06-05 00:00:00,American,male
381, 'Dana Carvey',1955-06-02 00:00:00,",",male
382, 'Ellie Kemper',1980-05-02 00:00:00,American,female
383, 'Chris Renaud',December 1966 is,voice,male
384, 'Hannibal Buress',1983-02-04 00:00:00,",",male
385, 'Bobby Moynihan',Robert Michael Moynihan Jr no bday found,,unclear
386, 'Harrison Ford'],1942-07-13 00:00:00,American,male
387,['Daveigh Chase',1990-07-24 00:00:00,American,female
388, 'Tia Carrere',1967-01-02 00:00:00,American,female
389, 'Kevin McDonald',1961-05-16 00:00:00,Canadian,male
390, 'Jason Scott Lee',1966-11-19 00:00:00,American,male
391, 'Zoe Caldwell',Zoe Ada Caldwell 14 September 1933 16 February 2020 was an Australian born actress no bday found,Australian-born,female
392, 'Kevin Michael Richardson'],1964-10-25 00:00:00,American,male
393,['Robert Duvall',1931-01-05 00:00:00,American,male
394, 'Vanessa Redgrave',1937-01-30 00:00:00,English,female
395, 'Maximilian Schell',Maximilian Schell 8 December 1930 1 February 2014 was an Austrian born Swiss film and stage actor who also wrote directed and produced some of his own films no bday found,stage,male
396, 'Christina Applegate',1971-11-25 00:00:00,American,female
397, 'Amy Poehler',1971-09-16 00:00:00,American,female
398,['Don Adams',Donald James Yarmy April 13 1923 September 25 2005 known professionally as Don Adams was an American actor comedian and director no bday found,American,male
399, 'Barbara Feldon',Barbara Anne Hall ,American,female
